a,b,c,volume
7.6329,5.9815,7.6329,1459.7
0.98431,0.57428,0.98431,2.3307
0.89699,0.31464,0.89699,1.0604
2.4035,1.1402,2.4035,27.592
1.6496,1.7733,1.6496,20.214
2.3704,1.2019,2.3704,28.288
3.9637,2.8573,3.9637,188.03
1.8058,1.0634,1.8058,14.525
1.5224,1.3738,1.5224,13.337
2.6325,1.0248,2.6325,29.749
0.8266,0.6961,0.8266,1.9923
2.469,1.3609,2.469,34.748
2.3945,1.686,2.3945,40.493
2.387,1.0154,2.387,24.235
2.3839,1.8082,2.3839,43.043
1.9397,2.0811,1.9397,32.799
1.9697,0.99229,1.9697,16.126
1.2483,0.62517,1.2483,4.0809
3.026,2.9936,3.026,114.82
1.7382,0.80775,1.7382,10.223
2.9341,2.9403,2.9341,106.03
1.081,0.74871,1.081,3.6647
1.6837,0.83906,1.6837,9.9632
1.1292,0.69953,1.1292,3.736
1.4886,1.1135,1.4886,10.336
0.98759,0.39914,0.98759,1.6307
1.5267,0.79503,1.5267,7.7621
1.1785,0.77923,1.1785,4.533
6.76,4.6026,6.76,881.03
2.0209,1.2398,2.0209,21.21
1.8198,0.84344,1.8198,11.7
2.9253,2.4413,2.9253,87.505
2.3751,1.6401,2.3751,38.753
2.1988,1.8875,2.1988,38.224
3.2286,2.0844,3.2286,91.012
1.2051,0.96393,1.2051,5.8642
1.0598,0.68569,1.0598,3.2257
1.5895,1.1148,1.5895,11.797
4.3616,2.1451,4.3616,170.93
1.1498,0.48753,1.1498,2.6999
1.3869,0.71673,1.3869,5.7748
4.1202,2.3173,4.1202,164.78
2.2253,1.1052,2.2253,22.926
0.60137,0.4634,0.60137,0.70199
1.0351,0.49403,1.0351,2.2171
2.3064,1.7815,2.3064,39.698
3.7967,2.6365,3.7967,159.19
3.6286,2.3962,3.6286,132.16
1.5859,0.98795,1.5859,10.408
1.004,1.2151,1.004,5.131
0.88379,0.69723,0.88379,2.2812
1.5591,0.94394,1.5591,9.6115
1.7106,1.0798,1.7106,13.234
2.3734,1.4741,2.3734,34.783
